NOME_PRODUTO,URL,CATEGORIA,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Kit 2 un Tempero Plant Cheese (90g) - Pura Vida - Valid 05/2025,https://www.corpoevidasuplementos.com.br/kit-2-un-tempero-plant-cheese-90g-pura-vida,Temperos / Molhos / Caldas / Adoçantes,5.0,26.0,1.1,1.5,0.0,0,0.0,0.0,62.0
Kit 2 un Glutamina+ (300g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-glutamina-300g-pura-vida,Glutaminas,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kit 3 un Zero Adoçante Natural (100g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-zero-adocante-natural-100g-pura-vida,Temperos / Molhos / Caldas / Adoçantes,1.5,0.0,1.5,0.0,0.0,0,0.0,0.0,0.0
Kit 3 un Immune Guard 600mg (60 Cápsulas) Pura vida,https://www.corpoevidasuplementos.com.br/kit-3-un-immune-guard-600mg-60-capsulas-pura-vida,Vitaminas e Minerais,1.2,8.0,0.0,0.0,0.5,0,0.0,0.0,0.0
Choco Nutrients (1 Sachê de 20g) - Pura Vida,https://www.corpoevidasuplementos.com.br/choco-nutrients-1-sache-de-20g-pura-vida,Substitutos de Refeição,20.0,61.0,11.0,2.0,0.0,0,4.0,0.0,82.0
Choco Nutrients (300g) - Pura Vida,https://www.corpoevidasuplementos.com.br/choco-nutrients-300g-pura-vida,Substitutos de Refeição,20.0,61.0,11.0,2.0,0.0,0,4.0,0.0,82.0
Tempero Lemon Pepper (130g) - Pura vida,https://www.corpoevidasuplementos.com.br/tempero-lemon-pepper-130g-pura-vida,Temperos / Molhos / Caldas / Adoçantes,5.0,8.0,2.1,0.0,0.0,0,0.0,0.0,404.0
Kit 3un Alpha Metabolicus (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-alpha-metabolicus-60-capsulas-pura-vida,Vitaminas e Minerais,2.1,9.0,0.0,0.0,0.7,0,0.0,0.0,0.0
Blue Calm Melatonina (20ml) - Pura Vida,https://www.corpoevidasuplementos.com.br/blue-calm-melatonina-20ml-pura-vida,Percursor de Melatonina,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Combo 3 un Collagen Protein (450g) - Pura Vida,https://www.corpoevidasuplementos.com.br/combo-3-un-collagen-protein-450g-pura-vida,Combos,23.0,154.0,95.0,21.0,0.0,0,2.6,0.0,69.0
Kit 3 Unidades Alpha Family (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-unidades-alpha-family-60-capsulas-pura-vida,Multivitaminicos,1.6,11.0,0.0,0.5,0.4,0,0.0,0.0,0.0
Coconut Granola (30g) - Pura Vida,https://www.corpoevidasuplementos.com.br/coconut-granola-30g-pura-vida,Substitutos de Refeição,30.0,140.0,11.0,2.8,0.0,0,4.8,0.0,4.5
Kit 2 un Vitamina D3 Synergy (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-vitamina-d3-synergy-60-capsulas-pura-vida,Vitaminas e Minerais,0.0,6.0,0.0,0.0,0.4,0,0.0,0.0,0.0
Tempero Veggie Taste (120g) - Pura vida,https://www.corpoevidasuplementos.com.br/tempero-veggie-taste-120g-pura-vida,Temperos / Molhos / Caldas / Adoçantes,5.0,7.0,1.7,0.0,0.0,0,0.0,0.0,422.0
Blue Calm (175g) - Pura Vida,https://www.corpoevidasuplementos.com.br/blue-calm-175g-pura-vida,Bem-Estar,0.0,7.0,2.1,0.0,0.0,0,0.0,0.1,0.0
